L,p_error,num_success
3,0,0,1000
3,0.00040404,0,1000
3,0.000808081,0,1000
3,0.00121212,0,1000
3,0.00161616,0,1000
3,0.0020202,0,1000
3,0.00242424,0,1000
3,0.00282828,0,1000
3,0.00323232,0,1000
3,0.00363636,0,1000
3,0.0040404,0,1000
3,0.00444444,0,997
3,0.00484848,0,1000
3,0.00525253,0,998
3,0.00565657,0,999
3,0.00606061,0,997
3,0.00646465,0,997
3,0.00686869,0,993
3,0.00727273,0,999
3,0.00767677,0,996
3,0.00808081,0,998
3,0.00848485,0,995
3,0.00888889,0,994
3,0.00929293,0,997
3,0.00969697,0,996
3,0.010101,0,998
3,0.0105051,0,996
3,0.0109091,0,997
3,0.0113131,0,997
3,0.0117172,0,996
3,0.0121212,0,995
3,0.0125253,0,995
3,0.0129293,0,989
3,0.0133333,0,988
3,0.0137374,0,990
3,0.0141414,0,990
3,0.0145455,0,994
3,0.0149495,0,987
3,0.0153535,0,989
3,0.0157576,0,987
3,0.0161616,0,977
3,0.0165657,0,985
3,0.0169697,0,979
3,0.0173737,0,990
3,0.0177778,0,983
3,0.0181818,0,984
3,0.0185859,0,981
3,0.0189899,0,984
3,0.0193939,0,983
3,0.019798,0,972
3,0.020202,0,974
3,0.0206061,0,976
3,0.0210101,0,977
3,0.0214141,0,971
3,0.0218182,0,960
3,0.0222222,0,973
3,0.0226263,0,967
3,0.0230303,0,972
3,0.0234343,0,972
3,0.0238384,0,967
3,0.0242424,0,960
3,0.0246465,0,971
3,0.0250505,0,957
3,0.0254545,0,952
3,0.0258586,0,955
3,0.0262626,0,961
3,0.0266667,0,963
3,0.0270707,0,950
3,0.0274747,0,966
3,0.0278788,0,965
3,0.0282828,0,947
3,0.0286869,0,961
3,0.0290909,0,940
3,0.0294949,0,948
3,0.029899,0,939
3,0.030303,0,935
3,0.0307071,0,942
3,0.0311111,0,939
3,0.0315152,0,938
3,0.0319192,0,960
3,0.0323232,0,938
3,0.0327273,0,935
3,0.0331313,0,922
3,0.0335354,0,920
3,0.0339394,0,924
3,0.0343434,0,938
3,0.0347475,0,924
3,0.0351515,0,902
3,0.0355556,0,914
3,0.0359596,0,929
3,0.0363636,0,926
3,0.0367677,0,901
3,0.0371717,0,902
3,0.0375758,0,915
3,0.0379798,0,907
3,0.0383838,0,887
3,0.0387879,0,893
3,0.0391919,0,905
3,0.039596,0,890
3,0.04,0,908
5,0,0,1000
5,0.00040404,0,1000
5,0.000808081,0,1000
5,0.00121212,0,1000
5,0.00161616,0,1000
5,0.0020202,0,999
5,0.00242424,0,999
5,0.00282828,0,1000
5,0.00323232,0,999
5,0.00363636,0,1000
5,0.0040404,0,1000
5,0.00444444,0,1000
5,0.00484848,0,1000
5,0.00525253,0,1000
5,0.00565657,0,998
5,0.00606061,0,998
5,0.00646465,0,998
5,0.00686869,0,1000
5,0.00727273,0,1000
5,0.00767677,0,1000
5,0.00808081,0,1000
5,0.00848485,0,1000
5,0.00888889,0,999
5,0.00929293,0,1000
5,0.00969697,0,1000
5,0.010101,0,1000
5,0.0105051,0,1000
5,0.0109091,0,997
5,0.0113131,0,998
5,0.0117172,0,997
5,0.0121212,0,1000
5,0.0125253,0,998
5,0.0129293,0,997
5,0.0133333,0,997
5,0.0137374,0,999
5,0.0141414,0,999
5,0.0145455,0,996
5,0.0149495,0,996
5,0.0153535,0,995
5,0.0157576,0,995
5,0.0161616,0,994
5,0.0165657,0,994
5,0.0169697,0,994
5,0.0173737,0,988
5,0.0177778,0,992
5,0.0181818,0,992
5,0.0185859,0,994
5,0.0189899,0,987
5,0.0193939,0,990
5,0.019798,0,990
5,0.020202,0,986
5,0.0206061,0,991
5,0.0210101,0,987
5,0.0214141,0,978
5,0.0218182,0,980
5,0.0222222,0,977
5,0.0226263,0,981
5,0.0230303,0,982
5,0.0234343,0,977
5,0.0238384,0,973
5,0.0242424,0,983
5,0.0246465,0,971
5,0.0250505,0,974
5,0.0254545,0,963
5,0.0258586,0,972
5,0.0262626,0,964
5,0.0266667,0,954
5,0.0270707,0,955
5,0.0274747,0,955
5,0.0278788,0,957
5,0.0282828,0,953
5,0.0286869,0,949
5,0.0290909,0,934
5,0.0294949,0,943
5,0.029899,0,936
5,0.030303,0,945
5,0.0307071,0,933
5,0.0311111,0,925
5,0.0315152,0,929
5,0.0319192,0,930
5,0.0323232,0,928
5,0.0327273,0,921
5,0.0331313,0,927
5,0.0335354,0,909
5,0.0339394,0,904
5,0.0343434,0,892
5,0.0347475,0,893
5,0.0351515,0,884
5,0.0355556,0,880
5,0.0359596,0,887
5,0.0363636,0,892
