L,p_error,num_success
3,0,1,100
3,0.00133333,1,100
3,0.00266667,1,100
3,0.004,1,97
3,0.00533333,1,98
3,0.00666667,1,85
3,0.008,1,89
3,0.00933333,1,80
3,0.0106667,1,76
3,0.012,1,73
5,0,1,100
5,0.00133333,1,100
5,0.00266667,1,100
5,0.004,1,99
5,0.00533333,1,96
5,0.00666667,1,93
5,0.008,1,83
5,0.00933333,1,72
5,0.0106667,1,63
5,0.012,1,53
7,0,1,100
7,0.00133333,1,100
7,0.00266667,1,100
7,0.004,1,100
7,0.00533333,1,100
7,0.00666667,1,90
7,0.008,1,77
7,0.00933333,1,64
7,0.0106667,1,50
7,0.012,1,54
9,0,1,100
9,0.00133333,1,100
9,0.00266667,1,100
9,0.004,1,100
9,0.00533333,1,100
9,0.00666667,1,89
9,0.008,1,74
9,0.00933333,1,51
9,0.0106667,1,46
9,0.012,1,45
11,0,1,100
11,0.00133333,1,100
11,0.00266667,1,100
11,0.004,1,100
11,0.00533333,1,98
11,0.00666667,1,89
11,0.008,1,63
11,0.00933333,1,50
11,0.0106667,1,54
11,0.012,1,47
13,0,1,100
13,0.00133333,1,100
13,0.00266667,1,100
13,0.004,1,100
13,0.00533333,1,100
13,0.00666667,1,91
13,0.008,1,55
13,0.00933333,1,53
13,0.0106667,1,44
13,0.012,1,51
15,0,1,100
15,0.00133333,1,100
15,0.00266667,1,100
15,0.004,1,100
15,0.00533333,1,98
15,0.00666667,1,87
15,0.008,1,57
15,0.00933333,1,39
15,0.0106667,1,50
15,0.012,1,50
17,0,1,100
17,0.00133333,1,100
17,0.00266667,1,100
17,0.004,1,100
17,0.00533333,1,100
17,0.00666667,1,90
17,0.008,1,66
17,0.00933333,1,51
17,0.0106667,1,43
17,0.012,1,59
