L,p_error,num_success
3,0,1,100
3,0.00555556,1,89
3,0.0111111,1,78
3,0.0166667,1,74
3,0.0222222,1,57
3,0.0277778,1,52
3,0.0333333,1,55
3,0.0388889,1,55
3,0.0444444,1,61
3,0.05,1,59
5,0,1,100
5,0.00555556,1,97
5,0.0111111,1,75
5,0.0166667,1,63
5,0.0222222,1,53
5,0.0277778,1,46
5,0.0333333,1,50
5,0.0388889,1,39
5,0.0444444,1,49
5,0.05,1,56
7,0,1,100
7,0.00555556,1,93
7,0.0111111,1,59
7,0.0166667,1,55
7,0.0222222,1,47
7,0.0277778,1,45
7,0.0333333,1,48
7,0.0388889,1,49
7,0.0444444,1,45
7,0.05,1,53
9,0,1,100
9,0.00555556,1,94
9,0.0111111,1,60
9,0.0166667,1,49
9,0.0222222,1,56
9,0.0277778,1,54
9,0.0333333,1,52
9,0.0388889,1,52
9,0.0444444,1,53
9,0.05,1,59
11,0,1,100
11,0.00555556,1,97
11,0.0111111,1,54
11,0.0166667,1,47
11,0.0222222,1,46
11,0.0277778,1,43
11,0.0333333,1,58
11,0.0388889,1,55
11,0.0444444,1,50
11,0.05,1,51
13,0,1,100
13,0.00555556,1,97
13,0.0111111,1,50
13,0.0166667,1,61
13,0.0222222,1,57
13,0.0277778,1,55
13,0.0333333,1,49
13,0.0388889,1,58
13,0.0444444,1,50
13,0.05,1,54
15,0,1,100
15,0.00555556,1,95
15,0.0111111,1,45
15,0.0166667,1,57
15,0.0222222,1,48
15,0.0277778,1,45
15,0.0333333,1,49
15,0.0388889,1,55
15,0.0444444,1,48
15,0.05,1,60
17,0,1,100
17,0.00555556,1,96
17,0.0111111,1,58
17,0.0166667,1,52
17,0.0222222,1,55
17,0.0277778,1,61
17,0.0333333,1,45
17,0.0388889,1,58
17,0.0444444,1,54
17,0.05,1,53
