L,p_error,num_success
3,0,1,100
3,0.00277778,1,100
3,0.00555556,1,100
3,0.00833333,1,96
3,0.0111111,1,91
3,0.0138889,1,81
3,0.0166667,1,79
3,0.0194444,1,62
3,0.0222222,1,64
3,0.025,1,62
5,0,1,100
5,0.00277778,1,100
5,0.00555556,1,99
5,0.00833333,1,98
5,0.0111111,1,92
5,0.0138889,1,76
5,0.0166667,1,70
5,0.0194444,1,61
5,0.0222222,1,56
5,0.025,1,56
7,0,1,100
7,0.00277778,1,100
7,0.00555556,1,100
7,0.00833333,1,99
7,0.0111111,1,96
7,0.0138889,1,75
7,0.0166667,1,63
7,0.0194444,1,53
7,0.0222222,1,58
7,0.025,1,51
9,0,1,100
9,0.00277778,1,100
9,0.00555556,1,100
9,0.00833333,1,100
9,0.0111111,1,93
9,0.0138889,1,79
9,0.0166667,1,55
9,0.0194444,1,58
9,0.0222222,1,50
9,0.025,1,45
11,0,1,100
11,0.00277778,1,100
11,0.00555556,1,100
11,0.00833333,1,100
11,0.0111111,1,96
11,0.0138889,1,70
11,0.0166667,1,53
11,0.0194444,1,43
11,0.0222222,1,59
11,0.025,1,50
13,0,1,100
13,0.00277778,1,100
13,0.00555556,1,100
13,0.00833333,1,100
13,0.0111111,1,98
13,0.0138889,1,69
13,0.0166667,1,49
13,0.0194444,1,54
13,0.0222222,1,54
13,0.025,1,45
15,0,1,100
15,0.00277778,1,100
15,0.00555556,1,100
15,0.00833333,1,100
15,0.0111111,1,97
15,0.0138889,1,56
15,0.0166667,1,47
15,0.0194444,1,52
15,0.0222222,1,60
15,0.025,1,57
17,0,1,100
17,0.00277778,1,100
17,0.00555556,1,100
17,0.00833333,1,100
17,0.0111111,1,95
17,0.0138889,1,58
17,0.0166667,1,52
17,0.0194444,1,46
17,0.0222222,1,49
17,0.025,1,56
